account number,name,sku,category,quantity,unit price,ext price,date,time,am_pm
296809,Carroll PLC,QN-82852,Belt,13,44.48,578.24,9/27/2014 0:00,7:13:03,AM
98022,Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,7/29/2014 0:00,2:10:44,AM
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,3/1/2014 0:00,10:51:24,AM
93356,Waters-Walker,AS-93055,Shirt,5,82.68,413.4,11/17/2013 0:00,8:41:11,PM
659366,Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,1/3/2014 0:00,8:14:27,AM
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,12/4/2013 0:00,2:07:05,AM
995267,Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,4/9/2014 0:00,4:15:03,PM
524021,Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,6/18/2014 0:00,7:25:10,PM
929400,"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,2/10/2014 0:00,5:55:56,AM
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,5/20/2014 0:00,12:21:28,AM
995267,Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,3/10/2014 0:00,6:23:31,AM
524021,Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,11/3/2013 0:00,6:38:16,PM
758133,"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,1/11/2014 0:00,9:48:28,PM
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,9/19/2014 0:00,1:20:00,PM
201259,Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,8/12/2014 0:00,8:05:27,AM
93356,Waters-Walker,LL-46261,Shoes,18,53.33,959.94,7/15/2014 0:00,11:21:11,PM
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,10/5/2014 0:00,11:38:16,PM
201259,Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,1/26/2014 0:00,1:52:36,AM
758133,"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,11/13/2013 0:00,9:38:46,PM
296809,Carroll PLC,VG-32047,Shirt,12,80.12,961.44,5/24/2014 0:00,4:03:28,PM
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,1/8/2014 0:00,2:45:07,AM
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,4/28/2014 0:00,7:01:04,AM
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,8/9/2014 0:00,11:22:15,AM
734922,Berge LLC,QN-82852,Belt,4,57.75,231,11/4/2013 0:00,9:48:26,AM
296809,Carroll PLC,AS-93055,Shirt,14,47.68,667.52,1/12/2014 0:00,12:28:09,AM
304860,Huel-Haag,QN-82852,Belt,2,41.4,82.8,9/23/2014 0:00,2:36:55,AM
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,3/14/2014 0:00,2:28:57,AM
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,12/13/2013 0:00,3:19:19,AM
850140,Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,2/19/2014 0:00,6:03:09,AM
115138,Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,2/7/2014 0:00,3:30:14,AM
711951,Kilback-Gerlach,AS-93055,Shirt,2,90.8,181.6,3/26/2014 0:00,8:56:14,PM
676847,Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,11/14/2013 0:00,10:16:18,PM
711951,Kilback-Gerlach,AS-93055,Shirt,1,71.5,71.5,4/14/2014 0:00,4:58:07,PM
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,9/20/2014 0:00,9:49:19,AM
201259,Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,12/12/2013 0:00,2:37:57,AM
115138,Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,2/20/2014 0:00,7:42:49,AM
296809,Carroll PLC,WJ-02096,Belt,14,15.33,214.62,12/3/2013 0:00,1:25:07,AM
93356,Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,9/4/2014 0:00,1:39:04,PM
850140,Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,2/20/2014 0:00,1:18:47,PM
676847,Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,1/2/2014 0:00,12:49:41,PM
115138,Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,12/10/2013 0:00,8:13:01,PM
201259,Koelpin PLC,KV-99194,Shirt,4,29.79,119.16,11/7/2013 0:00,5:43:31,PM
201259,Koelpin PLC,LW-86841,Shoes,11,35.82,394.02,6/21/2014 0:00,7:49:30,PM
676847,Hamill-Hackett,WJ-02096,Belt,6,55.43,332.58,8/8/2014 0:00,1:50:43,PM
304860,Huel-Haag,GS-86623,Shoes,4,95.75,383,3/15/2014 0:00,12:50:59,PM
304860,Huel-Haag,MJ-21460,Shoes,10,12.63,126.3,6/5/2014 0:00,10:34:03,PM
850140,Kunze Inc,MJ-21460,Shoes,10,26.21,262.1,4/21/2014 0:00,2:14:10,AM
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,11,92.1,1013.1,3/21/2014 0:00,2:26:03,PM
